Team, LogoURL
Wolves, ![Wolves Logo](https://liquipedia.net/commons/images/thumb/5/57/Wolves_Esports_2022_allmode.png/779px-Wolves_Esports_2022_allmode.png)
OUG, ![OUG Logo](https://liquipedia.net/commons/images/thumb/5/55/OU_Gaming_full_allmode.png/382px-OU_Gaming_full_allmode.png)
Q9, ![Q9 Logo](https://liquipedia.net/commons/images/thumb/b/be/Qing_Jiu_Club_full_darkmode.png/800px-Qing_Jiu_Club_full_darkmode.png)
Xrock, ![XROCK Logo](https://liquipedia.net/commons/images/3/38/Xrock_2025_allmode.png)
AG, ![AG Logo](https://liquipedia.net/commons/images/thumb/1/1f/All_Gamers_full_allmode.png/414px-All_Gamers_full_allmode.png)
SPG, ![SPG Logo](https://liquipedia.net/commons/images/thumb/b/b4/Stand_Point_Gaming_2022_Lightmode_Logo.png/600px-Stand_Point_Gaming_2022_Lightmode_Logo.png)
GodL, ![GodL Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
Soul, ![Soul Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
DVS, ![DVS Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
Xceed, ![Xceed Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
XLR8, ![XLR8 Logo](https://liquipedia.net/commons/images/d/dd/XLR8_2025_darkmode.png)
WL, ![WL Logo](https://liquipedia.net/commons/images/d/db/WL_Esports_allmode.png)